Replicate,SSE,RMSE,TimeTaken,NumParams,Mechanistic Error,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
0,624.1754760742188,2.0264298915863037,34.48975729942322,12,6.795139813157729,1,(2),5000,50,16,256
1,503.5467834472656,1.8201119899749756,34.94631338119507,12,6.897157578258629,1,(2),5000,50,16,256
2,520.8162231445312,1.851059913635254,34.930678367614746,12,6.888149328990839,1,(2),5000,50,16,256
3,510.9941711425781,1.8335222005844116,35.64585280418396,12,6.704039963581599,1,(2),5000,50,16,256
4,509.34759521484375,1.8305658102035522,34.91554927825928,12,6.9343905739672485,1,(2),5000,50,16,256
5,538.2957153320312,1.8818658590316772,34.55018973350525,12,5.926234552658862,1,(2),5000,50,16,256
6,517.473388671875,1.8451098203659058,34.60430574417114,12,6.801396438614465,1,(2),5000,50,16,256
7,512.5863647460938,1.8363765478134155,35.32323980331421,12,6.612916581875179,1,(2),5000,50,16,256
0,6.921877861022949,0.21339792013168335,36.225276470184326,22,8.545248208499979,1,(4),5000,50,16,256
1,9.036775588989258,0.24382877349853516,35.88903260231018,22,9.203245020385365,1,(4),5000,50,16,256
2,8.526342391967773,0.23684248328208923,36.29822373390198,22,8.272384227206931,1,(4),5000,50,16,256
3,44.93231201171875,0.5436978340148926,35.660622119903564,22,9.60834697721817,1,(4),5000,50,16,256
4,12.24579906463623,0.28383880853652954,35.81731104850769,22,8.935836741061285,1,(4),5000,50,16,256
5,18.34827995300293,0.3474368453025818,35.850958585739136,22,9.08205816944479,1,(4),5000,50,16,256
6,6.373642444610596,0.2047726958990097,36.13127946853638,22,8.80096570461057,1,(4),5000,50,16,256
7,9.72685432434082,0.25296732783317566,36.82888412475586,22,8.478212711371016,1,(4),5000,50,16,256
0,12.00562858581543,0.2810416519641876,37.37695050239563,32,8.822530073150993,1,(6),5000,50,16,256
1,4.790514945983887,0.1775289922952652,36.72089672088623,32,9.623331044558435,1,(6),5000,50,16,256
2,7.9539947509765625,0.2287551462650299,36.5725736618042,32,8.559601957136765,1,(6),5000,50,16,256
3,3.131650447845459,0.14353732764720917,36.905391454696655,32,8.222703929198905,1,(6),5000,50,16,256
4,7.611011981964111,0.22376874089241028,37.46750092506409,32,8.946453221337869,1,(6),5000,50,16,256
5,27.11909294128418,0.4223921000957489,36.93048548698425,32,9.309817286217585,1,(6),5000,50,16,256
6,10.719030380249023,0.2655559182167053,37.34116196632385,32,8.692193721579388,1,(6),5000,50,16,256
7,15.43950366973877,0.3187094032764435,37.075809478759766,32,7.298246428747661,1,(6),5000,50,16,256
0,4.942083358764648,0.18031558394432068,37.4829363822937,42,8.487296209009365,1,(8),5000,50,16,256
1,8.332874298095703,0.23413999378681183,37.322866916656494,42,9.170027488609776,1,(8),5000,50,16,256
2,18.327495574951172,0.34724003076553345,38.24524784088135,42,8.955240252292715,1,(8),5000,50,16,256
3,8.165318489074707,0.23177403211593628,37.48679447174072,42,8.188719860971906,1,(8),5000,50,16,256
4,9.401348114013672,0.24869856238365173,37.58222794532776,42,8.143728908784688,1,(8),5000,50,16,256
5,29.94070053100586,0.44382235407829285,37.429649114608765,42,7.3592312963912265,1,(8),5000,50,16,256
6,1.562964916229248,0.10140346735715866,37.852755069732666,42,7.9631775877717885,1,(8),5000,50,16,256
7,3.927232265472412,0.16073909401893616,37.84944033622742,42,8.926400077459402,1,(8),5000,50,16,256
0,4.3443217277526855,0.16905935108661652,51.73552393913269,52,9.057467596009374,1,(10),5000,50,16,256
1,3.962693214416504,0.1614631563425064,52.03046131134033,52,8.459699328634889,1,(10),5000,50,16,256
2,9.396944999694824,0.24864031374454498,51.51259517669678,52,8.14460250065662,1,(10),5000,50,16,256
3,10.30772590637207,0.26041117310523987,52.34910845756531,52,8.009304916618857,1,(10),5000,50,16,256
4,7.529068946838379,0.22256088256835938,52.01821827888489,52,9.024919323795475,1,(10),5000,50,16,256
5,4.343059539794922,0.16903479397296906,52.33236765861511,52,8.523667919510045,1,(10),5000,50,16,256
6,3.0950076580047607,0.1426950991153717,51.61476993560791,52,8.265064280498773,1,(10),5000,50,16,256
7,5.681028366088867,0.19332662224769592,52.543190717697144,52,9.22815287724603,1,(10),5000,50,16,256
0,8.387382507324219,0.23490454256534576,52.113195180892944,62,8.229917464749887,1,(12),5000,50,16,256
1,7.887453079223633,0.2277962565422058,51.60425281524658,62,7.385320273167454,1,(12),5000,50,16,256
2,6.816101551055908,0.21176111698150635,51.67565083503723,62,7.979753589965403,1,(12),5000,50,16,256
3,4.9588093757629395,0.1806204468011856,51.89557099342346,62,7.467608120786026,1,(12),5000,50,16,256
4,7.545182704925537,0.2227989137172699,52.1226441860199,62,8.013468195311725,1,(12),5000,50,16,256
5,6.410184860229492,0.20535887777805328,52.31313729286194,62,7.9214627061132346,1,(12),5000,50,16,256
6,5.6881585121154785,0.19344791769981384,51.99778461456299,62,7.875498262061737,1,(12),5000,50,16,256
7,11.57771110534668,0.2759875953197479,51.811362981796265,62,7.880068974131718,1,(12),5000,50,16,256
0,4.54100227355957,0.17284390330314636,52.804925203323364,72,7.753518917718902,1,(14),5000,50,16,256
1,4.183269500732422,0.16589608788490295,52.97242093086243,72,7.739456706738565,1,(14),5000,50,16,256
2,4.821465969085693,0.1781015843153,52.23042297363281,72,7.935962594997254,1,(14),5000,50,16,256
3,13.933572769165039,0.30276763439178467,52.62101936340332,72,7.35621700870106,1,(14),5000,50,16,256
4,3.6064493656158447,0.1540345400571823,52.62079453468323,72,7.6993349834065885,1,(14),5000,50,16,256
5,4.9394073486328125,0.18026675283908844,52.78045439720154,72,7.692529263156466,1,(14),5000,50,16,256
6,9.616230964660645,0.2515246868133545,52.8232855796814,72,7.866826918828301,1,(14),5000,50,16,256
7,8.638724327087402,0.2383982241153717,52.86709761619568,72,8.173086367025972,1,(14),5000,50,16,256
0,3.9929003715515137,0.162077397108078,52.697588205337524,82,7.610132499197498,1,(16),5000,50,16,256
1,8.286259651184082,0.2334841936826706,52.487635135650635,82,7.445067071653902,1,(16),5000,50,16,256
2,6.230618953704834,0.20246213674545288,52.92499852180481,82,7.787453659451566,1,(16),5000,50,16,256
3,4.026386260986328,0.1627555936574936,52.39020586013794,82,7.976197402975522,1,(16),5000,50,16,256
4,4.493577003479004,0.171938955783844,52.3042573928833,82,7.665695229070261,1,(16),5000,50,16,256
5,4.59323787689209,0.17383518815040588,52.457913398742676,82,7.245618426119909,1,(16),5000,50,16,256
6,5.176358699798584,0.18453994393348694,52.14266514778137,82,7.530843355208635,1,(16),5000,50,16,256
7,13.241390228271484,0.2951515018939972,52.45923328399658,82,7.86151974519249,1,(16),5000,50,16,256
0,11.628918647766113,0.276597261428833,52.84061026573181,92,7.5930835424922405,1,(18),5000,50,16,256
1,3.3760766983032227,0.14903365075588226,53.27451705932617,92,7.633132525449619,1,(18),5000,50,16,256
2,6.693787097930908,0.20985250174999237,52.73060727119446,92,7.426267604450695,1,(18),5000,50,16,256
3,10.118370056152344,0.2580081820487976,53.02237582206726,92,7.341446265559643,1,(18),5000,50,16,256
4,3.4439992904663086,0.15052537620067596,53.15386509895325,92,7.258478458067402,1,(18),5000,50,16,256
5,4.658327102661133,0.17506252229213715,53.016030073165894,92,7.551411262247711,1,(18),5000,50,16,256
6,7.204941272735596,0.21771754324436188,53.906187295913696,92,7.637831457941793,1,(18),5000,50,16,256
7,4.067600727081299,0.16358646750450134,53.45273208618164,92,7.8351539021823555,1,(18),5000,50,16,256
0,4.6525959968566895,0.17495480179786682,54.53503966331482,102,7.668313582474366,1,(20),5000,50,16,256
1,3.1066277027130127,0.1429627239704132,54.02724099159241,102,7.371478815795854,1,(20),5000,50,16,256
2,4.389431476593018,0.16993480920791626,53.51970362663269,102,7.48466696052812,1,(20),5000,50,16,256
3,5.03744649887085,0.18204696476459503,53.716325521469116,102,7.381845337189734,1,(20),5000,50,16,256
4,2.7856645584106445,0.13537628948688507,53.39845275878906,102,7.35269322658889,1,(20),5000,50,16,256
5,4.351584434509277,0.169200599193573,53.542266607284546,102,7.917813163995743,1,(20),5000,50,16,256
6,4.186458587646484,0.16595929861068726,53.76578664779663,102,7.541946802493185,1,(20),5000,50,16,256
7,6.936707496643066,0.21362638473510742,53.97358679771423,102,7.706637703105807,1,(20),5000,50,16,256
0,3.5535030364990234,0.15289966762065887,53.91565442085266,112,7.308607379524037,1,(22),5000,50,16,256
1,5.483114242553711,0.18992924690246582,54.05155849456787,112,7.527896101400256,1,(22),5000,50,16,256
2,5.1909379959106445,0.18479964137077332,53.956981897354126,112,7.427683788379654,1,(22),5000,50,16,256
3,5.605166912078857,0.19203150272369385,54.21995139122009,112,7.947298779310659,1,(22),5000,50,16,256
4,2.605149984359741,0.1309165507555008,53.94198513031006,112,7.245619836812839,1,(22),5000,50,16,256
5,7.2319841384887695,0.21812574565410614,54.00256967544556,112,7.405270994892344,1,(22),5000,50,16,256
6,4.541525840759277,0.17285387217998505,54.18537640571594,112,7.384058753205463,1,(22),5000,50,16,256
7,8.107832908630371,0.23095671832561493,54.37219429016113,112,7.803228809032589,1,(22),5000,50,16,256
0,3.911973237991333,0.16042651236057281,54.41939067840576,122,7.413747307015583,1,(24),5000,50,16,256
1,2.1289076805114746,0.11834682524204254,54.31257772445679,122,6.987341756150126,1,(24),5000,50,16,256
2,4.269611358642578,0.1675993651151657,54.04597878456116,122,7.485839904360473,1,(24),5000,50,16,256
3,6.295411109924316,0.20351210236549377,54.27222800254822,122,7.392447354756296,1,(24),5000,50,16,256
4,2.695058584213257,0.13315647840499878,54.34698534011841,122,7.303675603307783,1,(24),5000,50,16,256
5,4.916701793670654,0.1798519492149353,54.23143553733826,122,7.2839479311089965,1,(24),5000,50,16,256
6,3.167151927947998,0.1443486213684082,54.19994807243347,122,7.536496417429298,1,(24),5000,50,16,256
7,3.288111686706543,0.14707927405834198,54.123390913009644,122,7.0850899826921525,1,(24),5000,50,16,256
0,3.791393280029297,0.15793472528457642,54.55040240287781,132,7.120457247737795,1,(26),5000,50,16,256
1,3.17085862159729,0.14443306624889374,54.36860275268555,132,7.3184844887070355,1,(26),5000,50,16,256
2,4.581093788146973,0.17360523343086243,54.82966184616089,132,6.938178261658177,1,(26),5000,50,16,256
3,3.0363316535949707,0.14133599400520325,54.666539430618286,132,7.355084128100425,1,(26),5000,50,16,256
4,4.3276495933532715,0.16873463988304138,54.58802580833435,132,7.803859142242,1,(26),5000,50,16,256
5,3.165560722351074,0.14431235194206238,55.02397418022156,132,7.270581725630909,1,(26),5000,50,16,256
6,4.3949151039123535,0.17004092037677765,54.97420907020569,132,7.12946587331593,1,(26),5000,50,16,256
7,4.8083648681640625,0.17785944044589996,54.77276659011841,132,7.335865789381788,1,(26),5000,50,16,256
0,3.5965118408203125,0.1538221687078476,55.19258999824524,142,7.32483898489736,1,(28),5000,50,16,256
1,4.393664360046387,0.17001672089099884,54.94961595535278,142,7.568743058796972,1,(28),5000,50,16,256
2,3.8407435417175293,0.1589592695236206,55.23835062980652,142,7.314649092145264,1,(28),5000,50,16,256
3,2.4360029697418213,0.1265951544046402,55.01467680931091,142,6.966545483805239,1,(28),5000,50,16,256
4,2.775801658630371,0.1351364254951477,54.895493030548096,142,7.216417615829268,1,(28),5000,50,16,256
5,6.162928581237793,0.2013593316078186,55.36657381057739,142,7.645322823422029,1,(28),5000,50,16,256
6,4.544252395629883,0.17290574312210083,55.30595922470093,142,7.656177947726101,1,(28),5000,50,16,256
7,4.207695007324219,0.16637970507144928,55.015748500823975,142,7.331962106805295,1,(28),5000,50,16,256
0,2.952770948410034,0.1393776386976242,55.546385288238525,152,7.145223727794364,1,(30),5000,50,16,256
1,1.424933910369873,0.0968223363161087,55.612913608551025,152,7.091914323419332,1,(30),5000,50,16,256
2,4.493318557739258,0.17193400859832764,55.81018424034119,152,7.31103118780069,1,(30),5000,50,16,256
3,3.500711441040039,0.15175966918468475,55.67159342765808,152,7.0622231849003585,1,(30),5000,50,16,256
4,3.360757350921631,0.14869514107704163,55.64362978935242,152,7.3015771950874475,1,(30),5000,50,16,256
5,4.153723239898682,0.16530917584896088,55.299463748931885,152,7.320410030353814,1,(30),5000,50,16,256
6,5.954100131988525,0.19791844487190247,55.22101020812988,152,7.517669732896611,1,(30),5000,50,16,256
7,3.481457233428955,0.1513417512178421,55.38320207595825,152,7.106475015254691,1,(30),5000,50,16,256
